window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.5698822193591807e-25,0,,180,100
1,10,810,0.43099603412229054,1,,181,100
2,12,812,8.553351650053606e-05,0,,179,100
3,21,821,0.022759143988838517,1,,180,100
4,27,827,0.18021343275923232,1,,179,100
5,32,832,0.005383938176650937,1,,179,100
6,35,835,3.464591281939361e-05,0,,180,100
7,39,839,3.2350945516904004e-06,0,,180,100
8,50,850,0.10209928650685246,1,,181,100
9,53,853,0.10397951006647867,1,,182,100
10,67,867,2.218631877129939e-19,0,,181,100
11,70,870,9.135414248340477e-18,0,,183,100
12,80,880,0.00030255652119589595,0,,182,100
13,83,883,0.804933591008189,1,,182,100
14,95,895,0.3795157106599303,1,,181,100
15,99,899,0.6831222204855395,1,,180,100
16,104,904,0.7195097482443432,1,,181,100
17,113,913,0.007563611953554766,1,,183,100
18,122,922,0.8131397545773953,1,,181,100
19,125,925,0.0028946935138941627,1,,181,100
20,135,935,0.43877201044702874,1,,180,100
21,139,939,0.5810960472148894,1,,181,100
22,147,947,1.0710011358878592e-07,0,,180,100
23,150,950,7.452036898821649e-25,0,,180,100
24,158,958,8.163086788006014e-05,0,,181,100
25,161,961,1.7210519214951235e-06,0,,179,100
26,164,964,4.6304321165239854e-17,0,,181,100
27,168,968,2.7824416340815557e-21,0,,181,100
28,175,975,0.0006662312446418644,0,,181,100
29,178,978,0.2808843784787969,1,,182,100
30,182,982,0.46574298945354703,1,,181,100
31,188,988,0.0005428294883008401,0,,181,100
32,191,991,2.1293332058887854e-05,0,,181,100
33,195,995,0.41270291705377604,1,,181,100
34,202,1002,0.07625809108608894,1,,182,100
35,212,1012,2.381718768193694e-06,0,,181,100
36,215,1015,0.5796197960203581,1,,182,100
37,225,1025,8.971823164809715e-06,0,,182,100
38,229,1029,5.180412420918169e-09,0,,182,100
39,232,1032,5.304468929751567e-09,0,,182,100
40,241,1041,0.7185426573184065,1,,182,100
41,245,1045,5.209827720411467e-07,0,,180,100
42,256,1056,2.21573685371611e-09,0,,183,100
43,260,1060,0.00865809473150032,1,,182,100
44,262,1062,0.0019257143129099554,1,,182,100
45,270,1070,0.0015535713741455428,1,,183,100
46,273,1073,0.0003650413534614811,0,,184,100
47,287,1087,2.0887253001536383e-05,0,,181,100
48,297,1097,0.5434177865189995,1,,181,100
49,300,1100,0.0031730783426992667,1,,179,100
50,302,1102,0.5886970600274776,1,,179,100
51,307,1107,0.764506360271718,1,,179,100
52,317,1117,0.6078570520824608,1,,181,100
53,326,1126,0.5601387011006054,1,,179,100
54,332,1132,0.0008619191851324942,0,,179,100
55,342,1142,3.349907271003147e-05,0,,180,100
56,345,1145,0.41925477324446775,1,,180,100
57,349,1149,0.6110687971645482,1,,180,100
58,358,1158,2.938796116737749e-05,0,,180,100
59,361,1161,2.496653879668799e-13,0,,181,100
60,363,1163,0.3940297985470127,1,,180,100
61,368,1168,0.0012367716849320427,1,,181,100
62,375,1175,0.0051924023191920535,1,,181,100
63,379,1179,0.2205126551687459,1,,181,100
64,385,1185,0.465907147805985,1,,182,100
65,388,1188,0.13704234163241616,1,,182,100
66,392,1192,0.004686279194237032,1,,182,100
67,399,1199,0.45383214060336197,1,,181,100
68,402,1202,0.5598290229383339,1,,180,100
69,407,1207,0.02636028921665834,1,,181,100
70,411,1211,0.0001372174180865427,0,,181,100
71,416,1216,0.0001368490154056155,0,,182,100
72,422,1222,0.1529744456974136,1,,181,100
73,428,1228,0.0020807872952051136,1,,181,100
74,432,1232,0.43665339633251976,1,,181,100
75,435,1235,0.16350844387089478,1,,181,100
76,446,1246,0.7723672260784684,1,,179,100
77,456,1256,3.545517902351494e-07,0,,178,100
78,460,1260,0.7792252557732595,1,,178,100
79,463,1263,0.15402670733890134,1,,178,100
80,471,1271,0.03678284156442131,1,,177,100
81,478,1278,0.3523990061083754,1,,177,100
82,481,1281,1.1699784940016696e-07,0,,177,100
83,486,1286,0.026809429728601192,1,,177,100
84,489,1289,0.8031319257030092,1,,176,100
85,495,1295,0.25963679170769355,1,,177,100
86,498,1298,0.028547432484017123,1,,176,100
87,508,1308,0.2813656326800147,1,,177,100
88,511,1311,0.015248563971659823,1,,177,100
89,515,1315,0.008272149904636523,1,,175,100
90,522,1322,0.6964512616981208,1,,175,100
91,530,1330,0.014438819265073467,1,,176,100
92,534,1334,0.014712822149549627,1,,178,100
93,542,1342,0.014272480542944777,1,,178,100
94,545,1345,0.4250289656887188,1,,177,100
95,549,1349,1.808575981963898e-05,0,,177,100
96,556,1356,0.308282787314345,1,,175,100
97,560,1360,0.39343470629446586,1,,176,100
98,563,1363,0.005676648832768993,1,,175,100
99,568,1368,0.37489992551238155,1,,175,100
100,571,1371,0.0010045441666394735,1,,175,100
101,576,1376,0.11496925555617118,1,,173,100
102,580,1380,0.3238293102190534,1,,173,100
103,583,1383,0.7019425392658073,1,,173,100
104,585,1385,0.49756553703171313,1,,174,100
105,592,1392,0.015874784410524697,1,,174,100
106,595,1395,0.5007267747406353,1,,173,100
107,598,1398,0.6633071804608733,1,,174,100
108,609,1409,0.3090990877741297,1,,172,100
109,612,1412,0.030877532945373008,1,,173,100
110,617,1417,0.8365845894202668,1,,171,100
111,627,1427,0.7093405336961509,1,,171,100
112,630,1430,0.6186762090613989,1,,170,100
113,634,1434,0.018280208917613436,1,,169,100
114,640,1440,0.10347415627304071,1,,171,100
115,643,1443,0.5876787124709806,1,,169,100
116,647,1447,0.5011694185283018,1,,170,100
117,654,1454,0.7979963466348706,1,,170,100
118,657,1457,0.0792384216909068,1,,170,100
119,660,1460,0.03751422507209031,1,,170,100
120,667,1467,0.05158999450692298,1,,170,100
121,670,1470,0.2852771192849252,1,,170,100
122,676,1476,0.39085357255827624,1,,169,100
123,685,1485,7.743518705412271e-06,0,,170,100
124,693,1493,0.08413407873009829,1,,170,100
125,701,1501,0.8327347198624847,1,,170,100
126,705,1505,0.756607300231059,1,,170,100
127,714,1514,0.7191701272431167,1,,168,100
128,722,1522,0.769994562019411,1,,170,100
129,735,1535,0.453115510987421,1,,171,100
130,744,1544,1.9239413636334402e-08,0,,172,100
131,748,1548,0.14271925474612981,1,,173,100
132,758,1558,0.19028055491574178,1,,170,100
133,764,1564,0.4295685830768004,1,,170,100
134,768,1568,0.17065909362302467,1,,172,100
135,771,1571,0.06804411605441604,1,,172,100
136,781,1581,0.005267644514491581,1,,173,100
137,785,1585,0.607128875409414,1,,173,100
138,788,1588,0.5345039697156378,1,,173,100
139,797,1597,0.166048053896886,1,,172,100
140,803,1603,0.4221583053286038,1,,173,100
141,810,1610,0.0010470718088910994,1,,172,100
142,814,1614,0.09697895053735356,1,,172,100
143,819,1619,0.07321241255570829,1,,172,100
144,828,1628,0.20926418528493745,1,,172,100
145,835,1635,0.12272262483969683,1,,171,100
146,845,1645,0.14216743575866408,1,,172,100
147,848,1648,0.23550355407862503,1,,172,100
148,853,1653,0.05042704607382092,1,,172,100
149,856,1656,0.08059353441772504,1,,173,100
150,869,1669,0.35630756856982393,1,,171,100
151,873,1673,0.07822316187416978,1,,171,100
152,886,1686,0.11342255200408513,1,,174,100
153,897,1697,0.5828703657371781,1,,174,100
154,901,1701,0.0014555534253805297,1,,174,100
155,907,1707,4.027538089933424e-05,0,,174,100
156,910,1710,0.13788153387479862,1,,174,100
157,913,1713,3.540972226667918e-13,0,,174,100
158,923,1723,7.57090130917296e-07,0,,173,100
159,927,1727,0.5942908465146457,1,,173,100
160,931,1731,0.5544782913141344,1,,172,100
161,939,1739,0.14807118655444884,1,,173,100
162,942,1742,0.0005090780993383506,0,,172,100
163,949,1749,0.010430511133376801,1,,172,100
164,952,1752,0.5226156972351728,1,,172,100
165,955,1755,0.3033284914867336,1,,173,100
166,963,1763,5.292713729543378e-07,0,,170,100
167,973,1773,0.3086206497596511,1,,170,100
168,975,1775,0.789041597511318,1,,168,100
169,978,1778,0.7417559303279448,1,,168,100
170,985,1785,0.747503029636917,1,,168,100
171,991,1791,0.5896176083709416,1,,167,100
172,994,1794,0.6988117753025074,1,,167,100
173,999,1799,0.7711087914882052,1,,167,100
174,1002,1802,0.025633969668221783,1,,167,100
175,1009,1809,0.046960330735544877,1,,166,100
176,1013,1813,0.9255096878385887,1,,166,100
177,1015,1815,0.5353358084247449,1,,165,100
178,1024,1824,0.7595267923860444,1,,164,100
179,1027,1827,0.9088667631812154,1,,164,100
180,1037,1837,0.19187274483132935,1,,167,100
181,1046,1846,0.005706365293295335,1,,166,100
182,1053,1853,0.9243579397075168,1,,166,100
183,1060,1860,0.5829161143515059,1,,166,100
184,1063,1863,0.6390173462072584,1,,166,100
185,1065,1865,0.9351830797364518,1,,166,100
186,1077,1877,0.7723604029562506,1,,166,100
187,1080,1880,0.6338311747969212,1,,168,100
188,1091,1891,0.8259931106338807,1,,167,100
189,1094,1894,0.8985018554850048,1,,167,100
190,1096,1896,0.005050590023163005,1,,167,100
191,1102,1902,0.002773737085578357,1,,168,100
192,1108,1908,0.001069600108071054,1,,165,100
193,1115,1915,9.918631245950821e-11,0,,165,100
194,1118,1918,1.5947182997247663e-10,0,,165,100
195,1124,1924,4.937017868096895e-09,0,,167,100
196,1132,1932,1.9083634551001348e-09,0,,165,100
197,1135,1935,2.266141742140842e-16,0,,164,100
198,1139,1939,3.7770432620902433e-10,0,,165,100
199,1144,1944,0.000221085449832693,0,,165,100
200,1147,1947,0.00019583507939828216,0,,166,100
201,1153,1953,8.845164003995497e-11,0,,165,100
202,1161,1961,0.0006528607785896464,0,,163,100
203,1164,1964,0.012031795658779381,1,,162,100
204,1167,1967,2.7829084630436425e-09,0,,162,100
205,1171,1971,5.393331016524776e-07,0,,163,100
206,1180,1980,2.8347344119760798e-11,0,,160,100
207,1185,1985,5.5378690236913297e-14,0,,160,100
208,1188,1988,1.3576051320021692e-05,0,,160,100
209,1195,1995,0.002768844788241369,1,,159,100
210,1203,2003,3.2424233111187625e-11,0,,160,100
211,1206,2006,1.2751883625127621e-12,0,,160,100
212,1211,2011,0.0016656663454587065,1,,161,100
213,1214,2014,0.03299899777843188,1,,161,100
214,1218,2018,1.0564335107149371e-07,0,,160,100
215,1221,2021,3.242075721348477e-11,0,,160,100
216,1228,2028,0.0010111048258336576,1,,160,100
217,1236,2036,5.83010550615378e-09,0,,159,100
218,1240,2040,2.8591245619425268e-08,0,,159,100
219,1246,2046,0.020149487093590393,1,,159,100
220,1250,2050,0.04486893996768831,1,,159,100
221,1257,2057,2.9733988811111237e-09,0,,158,100
222,1260,2060,3.414820047671208e-10,0,,160,100
223,1268,2068,0.00025521958707872894,0,,160,100
224,1272,2072,0.023870912638497128,1,,160,100
225,1276,2076,3.7280119363435396e-08,0,,162,100
226,1281,2081,7.060371850694837e-10,0,,162,100
227,1289,2089,0.0022780847288356165,1,,162,100
228,1292,2092,6.482493485419334e-05,0,,162,100
229,1295,2095,8.793586552640325e-05,0,,162,100
230,1301,2101,4.1059728814438686e-11,0,,163,100
231,1305,2105,0.020932279586455924,1,,162,100
232,1308,2108,7.31694511341997e-11,0,,164,100
233,1317,2117,2.995437298319483e-10,0,,163,100
234,1320,2120,4.687785333171698e-10,0,,162,100
235,1325,2125,0.004517038067322877,1,,163,100
236,1328,2128,5.4470787639754374e-05,0,,162,100
237,1334,2134,6.00865758250204e-11,0,,160,100
238,1338,2138,0.0005050297950084763,0,,160,100
239,1344,2144,0.006020511103658991,1,,159,100
240,1347,2147,0.009392209954745925,1,,159,100
241,1357,2157,1.0497859363822112e-11,0,,160,100
242,1360,2160,7.433786545361186e-05,0,,159,100
243,1364,2164,3.5912140126502948e-06,0,,160,100
244,1373,2173,3.4013669939089703e-10,0,,160,100
245,1378,2178,3.0162376198426224e-10,0,,160,100
246,1381,2181,0.002217611700407895,1,,160,100
247,1384,2184,0.014297120101496091,1,,160,100
248,1386,2186,4.880157830319373e-12,0,,159,100
249,1394,2194,1.4608467913478248e-10,0,,160,100
250,1402,2202,3.638015582604611e-07,0,,159,100
251,1411,2211,5.822680196878609e-13,0,,161,100
252,1415,2215,1.0135942051189557e-12,0,,160,100
253,1418,2218,2.4943618247146366e-11,0,,161,100
254,1427,2227,0.08005699970776173,1,,162,100
255,1430,2230,1.1515641500953558e-07,0,,161,100
256,1436,2236,6.484223675049565e-11,0,,162,100
257,1445,2245,3.0981486045827205e-09,0,,162,100
258,1448,2248,2.3153957444774838e-10,0,,161,100
259,1458,2258,0.03589171003793759,1,,160,100
260,1466,2266,6.277145134026841e-11,0,,162,100
261,1470,2270,4.627878688811138e-14,0,,162,100
262,1478,2278,0.0003369492573824256,0,,162,100
263,1481,2281,0.005783680261722406,1,,162,100
264,1486,2286,5.964366574324722e-13,0,,161,100
265,1490,2290,0.02049858389195489,1,,161,100
266,1496,2296,0.0030656579891339053,1,,160,100
267,1504,2304,5.669353001456452e-12,0,,162,100
268,1513,2313,5.257637412959615e-12,0,,162,100
269,1516,2316,0.0015311309384164092,1,,162,100
270,1522,2322,0.08405176089746885,1,,162,100
271,1526,2326,1.0783706761541009e-07,0,,162,100
272,1533,2333,1.1389454686698424e-16,0,,163,100
273,1538,2338,0.18541260293557016,1,,162,100
274,1546,2346,5.7243951715494816e-11,0,,163,100
275,1551,2351,7.901087654417276e-08,0,,165,100
276,1567,2367,0.019942988863770966,1,,165,100
277,1577,2377,4.2713901573906174e-07,0,,166,100
278,1580,2380,0.6964367690415352,1,,164,100
279,1583,2383,5.597320097154759e-05,0,,164,100
280,1587,2387,8.345445956131982e-12,0,,165,100
281,1596,2396,1.3776124460951238e-09,0,,166,100
282,1610,2410,0.033135707627031184,1,,164,100
283,1614,2414,0.0328958959409944,1,,165,100
284,1622,2422,0.41098097408827805,1,,164,100
285,1628,2428,0.3202669129065511,1,,165,100
286,1634,2434,0.026113553412417338,1,,165,100
287,1638,2438,0.24452290698547638,1,,164,100
288,1644,2444,0.31935951604016655,1,,165,100
289,1647,2447,6.939852615272758e-07,0,,164,100
290,1649,2449,6.7960460752332495e-09,0,,165,100
291,1656,2456,0.25170377755266576,1,,164,100
292,1660,2460,0.44940852817370763,1,,163,100
293,1667,2467,3.644419200777888e-09,0,,163,100
