window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.7574129362515328e-19,0,,186,100
1,6,806,5.501066358946995e-22,0,,183,100
2,10,810,5.930516555219091e-23,0,,185,100
3,21,821,1.0896061951440726e-20,0,,186,100
4,25,825,2.7180531505263475e-24,0,,187,100
5,30,830,3.730674222875116e-20,0,,186,100
6,44,844,3.525917821090276e-20,0,,182,100
7,48,848,7.274499622307212e-20,0,,184,100
8,65,865,3.23982198493357e-15,0,,181,100
9,68,868,3.6789742204113225e-17,0,,179,100
10,88,888,2.3853706198807308e-15,0,,183,100
11,98,898,2.0206820262561214e-21,0,,182,100
12,104,904,1.078866237112365e-18,0,,183,100
13,109,909,5.311680688897584e-22,0,,183,100
14,113,913,2.4700505869074436e-24,0,,181,100
15,119,919,4.969503341689236e-24,0,,181,100
16,123,923,1.2866582476630336e-24,0,,181,100
17,134,934,9.972389655275383e-25,0,,183,100
18,138,938,1.1967921771366913e-21,0,,182,100
19,143,943,5.072592159181522e-26,0,,181,100
20,163,963,6.398934536642563e-22,0,,178,100
21,167,967,4.4697563010288896e-21,0,,179,100
22,180,980,4.376020776104633e-18,0,,180,100
23,183,983,8.304736683122775e-20,0,,182,100
24,191,991,4.0253859449892704e-22,0,,183,100
25,194,994,5.432044606887606e-19,0,,184,100
26,203,1003,1.0300664232321936e-19,0,,183,100
27,205,1005,3.510006687008128e-21,0,,182,100
28,213,1013,9.528087361883825e-16,0,,182,100
29,215,1015,2.2333688303745807e-19,0,,181,100
30,218,1018,9.054451372679634e-19,0,,181,100
31,223,1023,1.1521312312964985e-16,0,,180,100
32,240,1040,1.1076256455909024e-22,0,,179,100
33,251,1051,1.8192507697704544e-26,0,,177,100
34,257,1057,1.7521834379711255e-26,0,,175,100
35,262,1062,3.376607820006204e-29,0,,176,100
36,266,1066,3.3761993184812064e-29,0,,176,100
37,276,1076,2.8481370349901417e-30,0,,176,100
38,282,1082,1.9460528274213574e-28,0,,177,100
39,285,1085,2.4834775871632546e-32,0,,176,100
40,292,1092,3.762640947697838e-32,0,,176,100
41,303,1103,9.197970679228866e-34,0,,177,100
42,312,1112,4.088632516911726e-29,0,,175,100
43,316,1116,1.918597276220351e-30,0,,176,100
44,326,1126,1.8016410429788206e-29,0,,176,100
45,332,1132,1.0159932745318314e-28,0,,176,100
46,337,1137,1.6807020437958573e-30,0,,176,100
47,340,1140,5.220152391180511e-29,0,,177,100
48,349,1149,6.46774387853958e-27,0,,177,100
49,353,1153,2.1561546283717782e-25,0,,176,100
50,369,1169,7.125717632920393e-29,0,,175,100
51,376,1176,5.742116994745525e-26,0,,175,100
52,384,1184,8.684969265531819e-29,0,,176,100
53,390,1190,1.1506177439759782e-33,0,,176,100
54,395,1195,3.4283987002113016e-30,0,,176,100
55,399,1199,2.551738652374842e-31,0,,175,100
56,405,1205,4.9317737113368737e-29,0,,176,100
57,408,1208,9.613869978807661e-31,0,,175,100
58,412,1212,2.1626794264737284e-27,0,,175,100
59,419,1219,2.710467849754763e-26,0,,175,100
60,426,1226,2.248853194531085e-26,0,,175,100
61,430,1230,5.959443861271421e-27,0,,174,100
62,440,1240,3.086005207083962e-26,0,,173,100
63,446,1246,3.3337191672294144e-28,0,,173,100
64,455,1255,5.269613712104669e-30,0,,172,100
65,460,1260,6.332822755528162e-30,0,,173,100
66,469,1269,3.882315999428548e-30,0,,172,100
67,473,1273,9.001376547850089e-31,0,,172,100
68,484,1284,2.913616731796688e-32,0,,173,100
69,488,1288,6.536713789370812e-34,0,,172,100
70,491,1291,1.2389380101997472e-33,0,,172,100
71,495,1295,1.3750565578497955e-35,0,,171,100
72,501,1301,8.03297471416735e-37,0,,171,100
73,514,1314,1.9172394510007862e-35,0,,172,100
74,522,1322,2.8534778021337976e-37,0,,172,100
75,527,1327,5.660019237655086e-37,0,,172,100
76,532,1332,5.157946688461214e-38,0,,171,100
77,540,1340,4.285904216154793e-27,0,,171,100
78,544,1344,3.4736021014047106e-31,0,,170,100
79,548,1348,1.3281524506664752e-32,0,,172,100
80,557,1357,2.6025598878749826e-31,0,,171,100
81,560,1360,1.0355512198911593e-29,0,,171,100
82,565,1365,1.9076032957302672e-25,0,,170,100
83,583,1383,4.934190412630147e-27,0,,170,100
84,593,1393,2.0031963092816795e-25,0,,168,100
